-0.99,-0.5,1
-0.65,0.5,1
0.16,-0.67,1
0.72,-0.43,1
0.05,-0.83,1
0.7,0.07,1
-0.05,0.49,1
-0.88,-0.34,-1
0.2,-0.75,1
-0.13,-0.39,1
0.11,0.77,1
-0.07,-0.37,-1
0.27,-0.87,1
0.36,0.4,1
-0.62,0.67,1
0.25,0.26,1
-0.16,-0.67,-1
-0.02,0.83,1
-0.8,0.3,1
0.49,0.24,-1
0.38,-0.83,1
-0.49,0.02,1
-0.28,-0.18,1
-0.32,-0.39,1
0.67,-0.68,-1
0.26,0.25,1
-0.67,-0.34,1
-0.18,-0.66,-1
-0.71,-0.84,-1
-0.01,0.58,-1
-0.39,-0.94,1
0.13,-0.34,1
0.96,-0.75,1
0.21,-0.65,-1
0.21,-0.56,1
0.05,0.31,1
0.35,0.43,1
-0.73,0.82,1
-0.67,-0.18,1
0.26,-0.34,1
-0.83,0.17,1
-0.76,0.63,-1
-0.17,-0.95,1
0.07,-0.05,1
-0.61,-0.65,1
-0.91,0.3,1
-0.16,0.82,1
-0.16,0.04,-1
0.13,0.77,1
-0.85,-0.01,1
0.33,0.59,1
0.13,0.98,1
0.1,0.84,1
-0.7,0.23,1
0.71,0.93,1
0.86,0.11,-1
0.94,-0.61,-1
0.23,-0.25,-1
0.15,0.97,1
0.69,-0.07,1
-0.89,0.74,-1
0.24,0.9,1
-0.66,0.3,1
0.83,-0.26,-1
-0.8,0.94,1
-0.53,-0.85,1
0.33,-0.97,1
0.84,-0.57,-1
-0.44,-0.74,1
-0.79,0.28,1
0.81,0.42,1
-0.07,-0.19,1
0.31,-0.02,1
-0.1,0.78,-1
-0.41,-0.77,1
0.05,-0.51,-1
0.68,-0.06,1
0.67,0.97,1
1,-0.47,1
-0.9,-0.07,1
0.27,0.39,-1
-0.68,-0.2,1
-0.9,0.8,1
0.49,0.39,-1
-0.99,0.72,-1
0.33,-0.55,-1
-0.28,-0.17,1
-0.5,0.16,-1
0.79,0.75,1
0.96,0.34,-1
-0.33,-0.41,-1
-0.44,0.9,-1
0.47,-0.39,1
-0.57,-0.69,1
-0.1,0.48,-1
0.01,0.85,-1
0.49,0.37,1
-0.58,0.11,1
0.58,0.9,1
0.81,-0.94,1
0.48,-0.92,1
0.16,-0.86,-1
0.96,0.13,1
-0.12,0.53,1
-0.96,0.69,-1
0.94,0.07,1
-0.68,-0.88,1
-0.95,-0.1,-1
0.32,0.99,1
0,-0.54,1
-0.39,0.73,1
0.38,-0.38,-1
0.28,0.33,1
-0.91,0.41,-1
0.41,-0.03,1
-0.98,0.07,1
0.11,-0.14,1
0.82,0.21,1
-0.91,0.51,-1
0.1,-0.15,1
-0.82,-0.28,1
-0.52,-0.7,-1
-0.58,0.67,-1
-0.82,-0.34,1
-0.65,-1,1
0.15,0.31,1
-0.12,0.86,1
-0.93,0.05,1
-0.19,0.38,1
0.87,-0.75,1
0.31,0.46,1
0.25,-0.89,-1
0.8,0.01,1
-0.05,-0.25,1
-0.15,-1,-1
0.79,0.54,1
-0.7,0.19,-1
0.87,-0.11,1
0.27,-0.27,1
0.97,0.27,1
-0.92,0.94,-1
-0.58,0.91,-1
-0.55,-0.06,1
0.43,-0.92,1
0.02,0.72,-1
0.14,0.77,1
0.03,0.44,1
-0.52,0.06,1
-0.7,0.78,1
-0.18,0.06,-1
0.34,-0.61,1
-0.41,-0.73,1
-0.7,-0.08,1
-0.96,-0.75,1
0.5,-0.14,1
0.22,0.11,1
-0.19,-0.81,-1
-0.21,-0.65,1
-0.56,-0.1,1
0.69,-0.2,1
-0.88,0.41,1
-0.26,-0.12,1
-0.01,0.96,1
-0.52,0.18,1
-0.66,0.5,1
-0.34,-0.21,1
0.91,0.26,-1
0.6,-0.16,1
0.73,-0.73,1
0.18,0.66,1
0.13,-0.02,-1
-0.95,0.98,1
-0.62,0.76,-1
0.42,-0.29,-1
0.83,0.8,1
-0.45,0.45,-1
0.09,-0.21,-1
0.43,-0.41,1
-0.96,-0.07,1
-0.18,0.58,-1
-0.09,0.61,1
-0.33,0.62,1
-0.74,0.95,-1
0.9,-0.7,-1
-0.74,-0.79,1
-0.61,0.33,1
0.82,0.48,1
0.52,-0.77,-1
-0.48,0.97,1
0.62,-0.04,1
0.06,0.63,1
0.48,-0.93,-1
0.63,0.21,1
-0.3,0.71,1
0.84,-0.67,1
0.51,0.29,1
-0.85,0.93,1
0.51,0.63,1
0.11,0.68,1
-0.47,-0.72,1
0.77,-0.97,-1
